Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 OCT 2024,ACLGATI,EQ,ALLCARGO GATI LIMITED    ,Listed    ,18 OCT 2024,               2.00,         147018357,            106.75,    15695679793.30   
18 OCT 2024,AGI,EQ,AGI GREENPAC LIMITED     ,Listed    ,18 OCT 2024,               2.00,          64697381,            949.00,    61397814569.00       
18 OCT 2024,DABUR,EQ,DABUR INDIA LTD          ,Listed    ,18 OCT 2024,               1.00,        1772311381,            571.40,  1012698723103.40     
18 OCT 2024,DALBHARAT,EQ,DALMIA BHARAT LIMITED    ,Listed    ,18 OCT 2024,               2.00,         187547629,           1852.15,   347366341052.35 
18 OCT 2024,DALMIASUG,EQ,DALMIA BHARAT SUG IN LTD ,Listed    ,18 OCT 2024,               2.00,          80939303,            507.05,    41040273586.15 
18 OCT 2024,DAMODARIND,EQ,DAMODAR INDUSTRIES LTD   ,Listed    ,18 OCT 2024,               5.00,          23300000,             43.35,     1010521000.00
18 OCT 2024,DANGEE,EQ,DANGEE DUMS LIMITED      ,Listed    ,18 OCT 2024,               1.00,         153975000,              7.40,     1139415000.00    
18 OCT 2024,DATAMATICS,EQ,DATAMATICS GLOBAL SER LTD,Listed    ,18 OCT 2024,               5.00,          59031545,            591.45,    34914207290.25
18 OCT 2024,DATAPATTNS,EQ,DATA PATTERNS INDIA LTD  ,Listed    ,18 OCT 2024,               2.00,          55983969,           2450.75,   137202712026.75
18 OCT 2024,DAVANGERE,EQ,DAVANGERE SUGAR COMPANY L,Listed    ,18 OCT 2024,               1.00,         940844620,              6.60,     6218982938.20 
18 OCT 2024,DBCORP,EQ,D.B.CORP LTD             ,Listed    ,18 OCT 2024,              10.00,         178157492,            329.00,    58613814868.00    
18 OCT 2024,DBL,EQ,DILIP BUILDCON LIMITED   ,Listed    ,18 OCT 2024,              10.00,         146214971,            497.75,    72778501815.25       
18 OCT 2024,DBOL,EQ,DHAMPUR BIO ORGANICS LTD ,Listed    ,18 OCT 2024,              10.00,          66387590,            137.25,     9112360603.40      
18 OCT 2024,DBREALTY,EQ,VALOR ESTATE LIMITED     ,Listed    ,18 OCT 2024,              10.00,         538465491,            177.70,    95690702405.60  
18 OCT 2024,DBSTOCKBRO,EQ,DB (INT) STOCK BROKERS   ,Listed    ,18 OCT 2024,               2.00,          35000000,             51.30,     1796200000.00
18 OCT 2024,DCAL,EQ,DISHMAN CARBO AMCIS LTD  ,Listed    ,18 OCT 2024,               2.00,         156783095,            198.45,    31110469540.85      
18 OCT 2024,DCBBANK,EQ,DCB BANK LIMITED         ,Listed    ,18 OCT 2024,              10.00,         313505730,            114.50,    35899541142.30   
18 OCT 2024,DCG,SM,DCG CABLES & WIRES LTD   ,Listed    ,18 OCT 2024,              10.00,          18149600,            137.65,     2498292440.00       
18 OCT 2024,DCI,BE,DC INFOTECH AND COMUN LTD,Listed    ,18 OCT 2024,              10.00,          13000000,            400.30,     5203900000.00       
18 OCT 2024,DCM,BE,DCM LIMITED              ,Listed    ,18 OCT 2024,              10.00,          18677749,             93.85,     1752906743.65       
18 OCT 2024,DCMFINSERV,BE,DCM FINANCIAL SERVICES LT,Listed    ,18 OCT 2024,              10.00,          18781987,              6.60,      124336753.95
18 OCT 2024,DCMNVL,EQ,DCM NOUVELLE LIMITED     ,Listed    ,18 OCT 2024,              10.00,          18677749,            219.15,     4093602248.35    
18 OCT 2024,DCMSHRIRAM,EQ,DCM SHRIRAM LIMITED      ,Listed    ,18 OCT 2024,               2.00,         155942296,           1101.20,   171723656355.20
18 OCT 2024,DCMSRIND,EQ,DCM SHRIRAM IND LTD      ,Listed    ,18 OCT 2024,               2.00,          86992185,            194.40,    16909540920.30  
18 OCT 2024,DCW,EQ,DCW LTD                  ,Listed    ,18 OCT 2024,               2.00,         295155017,            107.15,    31619956971.20       
18 OCT 2024,DCXINDIA,EQ,DCX SYSTEMS LIMITED      ,Listed    ,18 OCT 2024,               2.00,         111386427,            308.85,    34401697978.95  
18 OCT 2024,DECCANCE,EQ,DECCAN CEMENTS LIMITED   ,Listed    ,18 OCT 2024,               5.00,          14007500,            604.95,     8473837125.00  
18 OCT 2024,DECCANTRAN,SM,DECCAN TRANSCON LEASING L,Listed    ,18 OCT 2024,              10.00,          22723448,             70.25,     1596322222.00
18 OCT 2024,DEEDEV,EQ,DEE DEVELOPMENT ENG LTD  ,Listed    ,18 OCT 2024,              10.00,          69054078,            250.60,    17304951946.80    
18 OCT 2024,DEEM,SM,DEEM ROLL TECH LIMITED   ,Listed    ,18 OCT 2024,              10.00,           8337272,            101.80,      848734289.60      
18 OCT 2024,DEEPAKFERT,EQ,DEEPAK FERTILIZERS & PETR,Listed    ,18 OCT 2024,              10.00,         126237825,           1019.80,   128737333935.00
18 OCT 2024,DEEPAKNTR,EQ,DEEPAK NITRITE LTD       ,Listed    ,18 OCT 2024,               2.00,         136393041,           2839.40,   387274400615.40 
18 OCT 2024,DEEPINDS,EQ,DEEP INDUSTRIES LIMITED  ,Listed    ,18 OCT 2024,               5.00,          64000000,            478.60,    30630400000.00  
18 OCT 2024,DELAPLEX,SM,DELAPLEX LIMITED         ,Listed    ,18 OCT 2024,              10.00,           9110000,            236.70,     2156337000.00  
18 OCT 2024,DELHIVERY,EQ,DELHIVERY LIMITED        ,Listed    ,18 OCT 2024,               1.00,         740038301,            396.70,   293573194006.70 
18 OCT 2024,DELPHIFX,BE,DELPHI WORLD MONEY LTD   ,Listed    ,18 OCT 2024,              10.00,          11127890,            288.35,     3208615802.60  
18 OCT 2024,DELTACORP,EQ,DELTA CORP LIMITED       ,Listed    ,18 OCT 2024,               1.00,         267771097,            121.45,    32515444308.70 
18 OCT 2024,DELTAMAGNT,EQ,DELTA MANUFACTURING LTD  ,Listed    ,18 OCT 2024,              10.00,          10851120,             98.30,     1066556584.80
18 OCT 2024,DEN,EQ,DEN NETWORKS LTD         ,Listed    ,18 OCT 2024,              10.00,         477223845,             48.55,    23169217674.75       
18 OCT 2024,DENEERS,SM,DE NEERS TOOLS LIMITED   ,Listed    ,18 OCT 2024,              10.00,           8606400,            218.00,     1876195200.00   
18 OCT 2024,DENORA,EQ,DE NORA INDIA LIMITED    ,Listed    ,18 OCT 2024,              10.00,           5308634,           1466.95,     7787500646.30    
18 OCT 2024,DENTALKART,SM,VASA DENTICITY LIMITED   ,Listed    ,18 OCT 2024,              10.00,          16016208,            677.75,    10854984972.00
18 OCT 2024,DESTINY,ST,DESTINY LOGISTICS & I LTD,Listed    ,18 OCT 2024,              10.00,          15388000,            148.10,     2278962800.00   
18 OCT 2024,DEVIT,EQ,DEV INFO TECHNOLOGY LTD  ,Listed    ,18 OCT 2024,               5.00,          22484679,            147.10,     3307496280.90     
18 OCT 2024,DEVYANI,EQ,DEVYANI INTERNATIONAL LTD,Listed    ,18 OCT 2024,               1.00,        1206266378,            175.00,   211072490822.45   
18 OCT 2024,DGCONTENT,BE,DIGICONTENT LIMITED      ,Listed    ,18 OCT 2024,               2.00,          58187078,             38.50,     2240202503.00 
18 OCT 2024,DHAMPURSUG,EQ,DHAMPUR SUGAR MILLS LTD. ,Listed    ,18 OCT 2024,              10.00,          65387590,            208.05,    13602580347.70
18 OCT 2024,DHANBANK,EQ,DHANLAXMI BANK LIMITED   ,Listed    ,18 OCT 2024,              10.00,         253012084,             37.80,     9563856775.20  
18 OCT 2024,DHANI,EQ,DHANI SERVICES LIMITED   ,Listed    ,18 OCT 2024,               2.00,         603233339,             65.10,    39282555035.70     
18 OCT 2024,DHANUKA,EQ,DHANUKA AGRITECH LTD     ,Listed    ,18 OCT 2024,               2.00,          45578324,           1507.25,    68697928849.00   
18 OCT 2024,DHARIWAL,SM,DHARIWALCORP LIMITED     ,Listed    ,18 OCT 2024,              10.00,           8951400,            150.00,     1342710000.00  
18 OCT 2024,DHARMAJ,EQ,DHARMAJ CROP GUARD LTD   ,Listed    ,18 OCT 2024,              10.00,          33797296,            330.75,    11178455652.00   
18 OCT 2024,DHRUV,BE,DHRUV CONSULTANCY SER LTD,Listed    ,18 OCT 2024,              10.00,          15888769,            123.45,     1961468533.05     
18 OCT 2024,DHTL,ST,DOCMODE HEALTH TECH LTD  ,Listed    ,18 OCT 2024,              10.00,           3142800,             89.70,      281909160.00      
18 OCT 2024,DHUNINV,EQ,DHUNSERI INVESTMENTS LTD ,Listed    ,18 OCT 2024,              10.00,           6097178,           2345.50,    14300930999.00   
18 OCT 2024,DIACABS,BE,DIAMOND POWER INFRA LTD  ,Listed    ,18 OCT 2024,              10.00,          52697106,           1844.65,    97207716582.90   
18 OCT 2024,DIAMINESQ,EQ,DIAMINES & CHEMICALS LTD ,Listed    ,18 OCT 2024,              10.00,           9783990,            535.30,     5237369847.00 
18 OCT 2024,DIAMONDYD,EQ,PRATAAP SNACKS LIMITED   ,Listed    ,18 OCT 2024,               5.00,          23873425,           1131.80,    27019942415.00 
18 OCT 2024,DICIND,BE,DIC INDIA LIMITED        ,Listed    ,18 OCT 2024,              10.00,           9178977,            799.95,     7342722651.15    
18 OCT 2024,DIFFNKG,EQ,DIFFUSION ENGINEERS LTD  ,Listed    ,18 OCT 2024,              10.00,          37426259,            340.25,    12734284624.75   
18 OCT 2024,DIGIDRIVE,EQ,DIGIDRIVE DISTRIBUTORS L ,Listed    ,18 OCT 2024,              10.00,          38561898,             43.90,     1693638560.15 
18 OCT 2024,DIGIKORE,SM,DIGIKORE STUDIOS LIMITED ,Listed    ,18 OCT 2024,              10.00,           6332800,            369.50,     2339969600.00  
18 OCT 2024,DIGISPICE,BE,DIGISPICE TECHNOLOGIES LT,Listed    ,18 OCT 2024,               3.00,         232963106,             32.35,     7541015741.20 
18 OCT 2024,DIGJAMLMTD,BE,DIGJAM LTD               ,Listed    ,18 OCT 2024,              10.00,          20000000,             86.45,     1729400000.00
18 OCT 2024,DIL,EQ,DEBOCK INDUSTRIES LIMITED,Listed    ,18 OCT 2024,              10.00,         162736115,              5.75,      932477938.95       
18 OCT 2024,DISHTV,EQ,DISH TV INDIA LTD.       ,Listed    ,18 OCT 2024,               1.00,        1841256054,             13.85,    25519808908.45    
18 OCT 2024,DIVGIITTS,EQ,DIVGI TORQTRANSFER SYST L,Listed    ,18 OCT 2024,               5.00,          30582927,            616.55,    18855903641.85 
18 OCT 2024,DIVISLAB,EQ,DIVI S LABORATORIES LTD  ,Listed    ,18 OCT 2024,               2.00,         265468580,           6022.25,  1598718155905.00  
18 OCT 2024,DIVYADHAN,SM,DIVYADHAN RECYCLING IND L,Listed    ,18 OCT 2024,              10.00,          14306714,             83.80,     1198902633.20 
18 OCT 2024,DIXON,EQ,DIXON TECHNO (INDIA) LTD ,Listed    ,18 OCT 2024,               2.00,          59836595,          15381.80,   920394536971.00     
18 OCT 2024,DJML,BE,DJ MEDIAPRINT & LOG LTD  ,Listed    ,18 OCT 2024,              10.00,          32483520,            122.85,     3990925267.20      
18 OCT 2024,DKEGL,SM,D K ENTERPRISES GLOBAL L ,Listed    ,18 OCT 2024,              10.00,           7508000,             93.00,      698244000.00     
18 OCT 2024,DLF,EQ,DLF LIMITED              ,Listed    ,18 OCT 2024,               2.00,        2475315036,            875.15,  2166271953755.40       
18 OCT 2024,DLINKINDIA,EQ,D-LINK INDIA LTD         ,Listed    ,18 OCT 2024,               2.00,          35504850,            546.65,    19408726252.50
18 OCT 2024,DMART,EQ,AVENUE SUPERMARTS LIMITED,Listed    ,18 OCT 2024,              10.00,         650733068,           3986.70,  2594277522195.60     
18 OCT 2024,DMCC,EQ,DMCC SPECIALITY CHEMICALS,Listed    ,18 OCT 2024,              10.00,          24939933,            267.90,     6681408050.70      
18 OCT 2024,DNAMEDIA,BE,DILIGENT MEDIA CORP LTD. ,Listed    ,18 OCT 2024,               1.00,         117708018,              5.10,      600310891.80  
18 OCT 2024,DODLA,EQ,DODLA DAIRY LIMITED      ,Listed    ,18 OCT 2024,              10.00,          60327809,           1293.50,    78034020941.50     
18 OCT 2024,DOLATALGO,EQ,DOLAT ALGOTECH LIMITED   ,Listed    ,18 OCT 2024,               1.00,         176000000,            140.90,    24794880000.00 
18 OCT 2024,DOLLAR,EQ,DOLLAR INDUSTRIES LIMITED,Listed    ,18 OCT 2024,               2.00,          56716120,            536.45,    30425362574.00    
18 OCT 2024,DOLLEX,SM,DOLLEX AGROTECH LIMITED  ,Listed    ,18 OCT 2024,              10.00,          24968000,             43.25,     1079866000.00    
18 OCT 2024,DOLPHIN,BE,DOLPHIN OFF ENT (IND) L  ,Listed    ,18 OCT 2024,               1.00,          40004580,            547.40,    21898507092.00   
18 OCT 2024,DOMS,EQ,DOMS INDUSTRIES LIMITED  ,Listed    ,18 OCT 2024,              10.00,          60687236,           2924.40,   177473752958.40      
18 OCT 2024,DONEAR,BE,DONEAR IND. LIMITED      ,Listed    ,18 OCT 2024,               2.00,          52000000,            126.40,     6573840000.00    
18 OCT 2024,DPABHUSHAN,EQ,D. P. ABHUSHAN LIMITED   ,Listed    ,18 OCT 2024,              10.00,          22610920,           1791.15,    40499549358.00
18 OCT 2024,DPEL,SM,DIVINE POWER ENERGY LTD  ,Listed    ,18 OCT 2024,              10.00,          21467080,            117.35,     2519161838.00      
18 OCT 2024,DPSCLTD,EQ,DPSC LIMITED             ,Listed    ,18 OCT 2024,               1.00,         973789640,             18.45,    17985894650.80   
18 OCT 2024,DPWIRES,EQ,D P WIRES LIMITED        ,Listed    ,18 OCT 2024,              10.00,          15506286,            412.25,     6392466403.50   
18 OCT 2024,DRCSYSTEMS,EQ,DRC SYSTEMS INDIA LIMITED,Listed    ,18 OCT 2024,               1.00,         132465930,             24.95,     3306349612.80
18 OCT 2024,DREAMFOLKS,EQ,DREAMFOLKS SERVICES LTD  ,Listed    ,18 OCT 2024,               2.00,          53074562,            460.40,    24435528344.80
18 OCT 2024,DREDGECORP,EQ,DREDGING CORP OF INDIA   ,Listed    ,18 OCT 2024,              10.00,          28000000,           1052.05,    29457400000.00
18 OCT 2024,DRL,SM,DHANUKA REALTY LIMITED   ,Listed    ,04 OCT 2024,              10.00,           7740040,             15.00,      116100600.00       
18 OCT 2024,DRONE,ST,DRONE DESTINATION LIMITED,Listed    ,18 OCT 2024,              10.00,          24299998,            202.30,     4915889595.40     
18 OCT 2024,DRREDDY,EQ,DR. REDDY S LABORATORIES ,Listed    ,18 OCT 2024,               5.00,         166869882,           6741.10,  1124886561550.20   
18 OCT 2024,DRSDILIP,ST,DRS DILIP ROADLINES LTD. ,Listed    ,18 OCT 2024,              10.00,          15062403,             82.50,     1242648247.50  
18 OCT 2024,DSSL,EQ,DYNACONS SYS & SOLN LTD  ,Listed    ,18 OCT 2024,              10.00,          12713130,           1315.30,    16721579889.00      
18 OCT 2024,DTIL,EQ,DHUNSERI TEA & IND. LTD. ,Listed    ,18 OCT 2024,              10.00,          10507427,            264.80,     2782366669.60      
18 OCT 2024,DTL,SM,DIENSTEN TECH LIMITED    ,Listed    ,17 OCT 2024,              10.00,           8260646,            151.95,     1255205159.70       
18 OCT 2024,DUCOL,SM,DUCOL ORGS AND COLOURS LT,Listed    ,18 OCT 2024,              10.00,          14540000,            124.85,     1815319000.00     
18 OCT 2024,DUCON,EQ,DUCON INFRATECHNOLOGIES L,Listed    ,18 OCT 2024,               1.00,         324925586,              8.45,     2752119713.40     
18 OCT 2024,DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED ,Listed    ,16 OCT 2024,               2.00,          69740840,             65.00,     4533154600.00  
18 OCT 2024,DURLAX,SM,DURLAX TOP SURFACE LTD   ,Listed    ,18 OCT 2024,              10.00,          16627701,             62.10,     1032580232.10    
18 OCT 2024,DVL,EQ,DHUNSERI VENTURES LIMITED,Listed    ,18 OCT 2024,              10.00,          35024754,            459.90,    16107884364.60       
18 OCT 2024,DWARKESH,EQ,DWARIKESH SUGAR IND LTD  ,Listed    ,18 OCT 2024,               1.00,         185301470,             69.75,    12922924517.80  
18 OCT 2024,DYCL,EQ,DYNAMIC CABLES LIMITED   ,Listed    ,18 OCT 2024,              10.00,          24229319,            548.75,    13295838801.25      
18 OCT 2024,DYNAMATECH,EQ,DYNAMATIC TECHNOLOGIES   ,Listed    ,18 OCT 2024,              10.00,           6791443,           7712.60,    52379683281.80
18 OCT 2024,DYNAMIC,ST,DYNAMIC SRVCS & SEC LTD  ,Listed    ,18 OCT 2024,              10.00,          13746192,            310.00,     4261319520.00   
18 OCT 2024,DYNPRO,BE,DYNEMIC PRODUCTS LIMITED ,Listed    ,18 OCT 2024,              10.00,          12028387,            431.65,     5192053248.55    
18 OCT 2024,E2E,BE,E2E NETWORKS LIMITED     ,Listed    ,18 OCT 2024,              10.00,          14490320,           3829.65,    55492853988.00       
18 OCT 2024,EASEMYTRIP,EQ,EASY TRIP PLANNERS LTD   ,Listed    ,18 OCT 2024,               1.00,        1772040618,             32.00,    56705299776.00
18 OCT 2024,ECLERX,EQ,ECLERX SERVICES LTD      ,Listed    ,18 OCT 2024,              10.00,          47650360,           3004.35,   143158359066.00    
18 OCT 2024,ECOSMOBLTY,EQ,ECOS (INDIA) MOB & HOSP L,Listed    ,18 OCT 2024,               2.00,          60000000,            445.35,    26721000000.00
18 OCT 2024,EDELWEISS,EQ,EDELWEISS FIN SERV LTD   ,Listed    ,18 OCT 2024,               1.00,         944214148,            121.25,   114485965445.00 
18 OCT 2024,EFACTOR,SM,E FACTOR EXPERIENCES LTD ,Listed    ,18 OCT 2024,              10.00,          13088098,            286.70,     3752357696.60   
18 OCT 2024,EFFWA,ST,EFFWA INFRA & RESEARCH L ,Listed    ,18 OCT 2024,              10.00,          23147167,            245.00,     5671055915.00     
18 OCT 2024,EFORCE,SM,ELECTRO FORCE (INDIA) LTD,Listed    ,18 OCT 2024,              10.00,          23400001,             68.45,     1601730068.45    
18 OCT 2024,EICHERMOT,EQ,EICHER MOTORS LTD        ,Listed    ,18 OCT 2024,               1.00,         274060710,           4765.65,  1306077422611.50 
18 OCT 2024,EIDPARRY,EQ,EID PARRY INDIA LTD      ,Listed    ,18 OCT 2024,               1.00,         177552077,            802.25,   142441153773.25  
18 OCT 2024,EIFFL,BE,EURO (I) FRESH FOODS LTD ,Listed    ,18 OCT 2024,              10.00,          24800000,            202.65,     5025224000.00     
18 OCT 2024,EIHAHOTELS,EQ,EIH ASSOCIATED HOTELS LTD,Listed    ,18 OCT 2024,              10.00,          60936294,            382.70,    23320319713.80
18 OCT 2024,EIHOTEL,EQ,EIH LIMITED              ,Listed    ,18 OCT 2024,               2.00,         625364182,            398.75,   249363967572.50   
18 OCT 2024,EIMCOELECO,EQ,EIMCO ELECON (INDIA) LTD ,Listed    ,18 OCT 2024,              10.00,           5768385,           2918.25,    16833589526.25
18 OCT 2024,EKC,EQ,EVEREST KANTO CYLINDERLTD,Listed    ,18 OCT 2024,               2.00,         112207682,            198.15,    22231708034.65       
18 OCT 2024,ELDEHSG,EQ,ELDECO HSG & IND LTD.    ,Listed    ,18 OCT 2024,               2.00,           9833000,            863.30,     8488828900.00   
18 OCT 2024,ELECON,EQ,ELECON ENG. CO. LTD      ,Listed    ,18 OCT 2024,               1.00,         224399930,            626.40,   140564116152.00    
18 OCT 2024,ELECTCAST,EQ,ELECTROSTEEL CASTINGS LTD,Listed    ,18 OCT 2024,               1.00,         618184591,            190.85,   117986711038.25 
18 OCT 2024,ELECTHERM,BE,ELECTROTHERM (I) LTD.    ,Listed    ,18 OCT 2024,              10.00,          12742814,            990.40,    12620482985.60 
18 OCT 2024,ELGIEQUIP,EQ,ELGI EQUIPMENTS LTD      ,Listed    ,18 OCT 2024,               1.00,         316909016,            658.65,   208732123388.40 
18 OCT 2024,ELGIRUBCO,BE,ELGI RUBBER CO. LTD      ,Listed    ,18 OCT 2024,               1.00,          50050000,            105.00,     5256251000.00 
18 OCT 2024,ELIN,EQ,ELIN ELECTRONICS LIMITED ,Listed    ,18 OCT 2024,               5.00,          49659220,            219.30,    10891260130.40      
18 OCT 2024,EMAMILTD,EQ,EMAMI LIMITED            ,Listed    ,18 OCT 2024,               1.00,         436500000,            700.85,   305921025000.00  
18 OCT 2024,EMAMIPAP,EQ,EMAMI PAPER MILLS LIMITED,Listed    ,18 OCT 2024,               2.00,          60499050,            112.45,     6804328153.50  
18 OCT 2024,EMAMIREAL,EQ,EMAMI REALTY LIMITED     ,Listed    ,18 OCT 2024,               2.00,          37843889,            113.80,     4305877690.40 
18 OCT 2024,EMBASSY,RR,EMBASSY OFFICE PARKS REIT,Listed    ,18 OCT 2024,             300.00,         947893743,            391.50,   371090921447.05   
18 OCT 2024,EMBDL,EQ,EQUINOX INDIA DEV LTD    ,Listed    ,18 OCT 2024,               2.00,         636470937,            132.40,    84281481477.55     
18 OCT 2024,EMCURE,EQ,EMCURE PHARMACEUTICALS L ,Listed    ,18 OCT 2024,              10.00,         189098347,           1493.65,   282446745996.55    
18 OCT 2024,EMIL,EQ,ELECTRONICS MART IND LTD ,Listed    ,18 OCT 2024,              10.00,         384748762,            207.90,    79996962595.05      
18 OCT 2024,EMKAY,BE,EMKAY GLOBAL FIN SERV LTD,Listed    ,18 OCT 2024,              10.00,          24838012,            272.50,     6768358270.00     
18 OCT 2024,EMKAYTOOLS,SM,EMKAY TAP & CUT. TOOL LTD,Listed    ,18 OCT 2024,              10.00,          10671300,           1143.00,    12197295900.00
18 OCT 2024,EMMBI,EQ,EMMBI INDUSTRIES LIMITED ,Listed    ,18 OCT 2024,              10.00,          17690250,            127.30,     2251968825.00     
18 OCT 2024,EMMIL,SM,ENERGY MISSION MACH IND L,Listed    ,18 OCT 2024,              10.00,          11326500,            425.50,     4819425750.00     
18 OCT 2024,EMSLIMITED,EQ,EMS LIMITED              ,Listed    ,18 OCT 2024,              10.00,          55530807,            864.90,    48028594974.30
18 OCT 2024,EMUDHRA,EQ,EMUDHRA LIMITED          ,Listed    ,18 OCT 2024,               5.00,          82811707,            940.60,    77892691604.20   
18 OCT 2024,ENDURANCE,EQ,ENDURANCE TECHNO. LTD.   ,Listed    ,18 OCT 2024,              10.00,         140662848,           2386.15,   335642654755.20 
18 OCT 2024,ENERGYDEV,EQ,ENERGY DEVE. CO.LTD      ,Listed    ,18 OCT 2024,              10.00,          47500000,             23.30,     1105800000.00 
18 OCT 2024,ENFUSE,SM,ENFUSE SOLUTIONS LIMITED ,Listed    ,18 OCT 2024,              10.00,           8847600,            158.30,     1400575080.00    
18 OCT 2024,ENGINERSIN,EQ,ENGINEERS INDIA LTD      ,Listed    ,18 OCT 2024,               5.00,         562042373,            187.50,   105377324513.75
18 OCT 2024,ENIL,EQ,ENTERTAIN NET. IND. LTD. ,Listed    ,18 OCT 2024,              10.00,          47670415,            200.10,     9538850041.50      
18 OCT 2024,ENSER,ST,ENSER COMMUNICATIONS LTD ,Listed    ,18 OCT 2024,              10.00,           8716059,            285.50,     2488434844.50     
18 OCT 2024,ENTERO,EQ,ENTERO HEALTHCARE SOLU L ,Listed    ,18 OCT 2024,              10.00,          43493767,           1387.30,    60338902959.10    
18 OCT 2024,ENVIRO,SM,ENVIROTECH SYSTEMS LTD   ,Listed    ,18 OCT 2024,              10.00,          18790000,            102.15,     1919398500.00    
18 OCT 2024,EPACK,BE,EPACK DURABLE LIMITED    ,Listed    ,18 OCT 2024,              10.00,          95967729,            398.60,    38252736779.40     
18 OCT 2024,EPL,EQ,EPL LIMITED              ,Listed    ,18 OCT 2024,               2.00,         318459851,            269.80,    85920467799.80       
18 OCT 2024,EQUITASBNK,EQ,EQUITAS SMALL FIN BNK LTD,Listed    ,18 OCT 2024,              10.00,        1137863263,             70.30,    79991787388.90
18 OCT 2024,ERIS,EQ,ERIS LIFESCIENCES LIMITED,Listed    ,18 OCT 2024,               1.00,         136081462,           1345.30,   183070390828.60      
18 OCT 2024,EROSMEDIA,EQ,EROS INTL MEDIA LTD      ,Listed    ,18 OCT 2024,              10.00,          95914119,             19.45,     1866488755.75 
18 OCT 2024,ESABINDIA,EQ,ESAB INDIA LTD           ,Listed    ,18 OCT 2024,              10.00,          15393020,           6353.90,    97805709778.00 
18 OCT 2024,ESAFSFB,EQ,ESAF SMALL FINANCE BANK L,Listed    ,18 OCT 2024,              10.00,         514779858,             46.90,    24153470937.35   
18 OCT 2024,ESCONET,ST,ESCONET TECHNOLOGIES LTD ,Listed    ,18 OCT 2024,              10.00,          12360000,            387.50,     4789500000.00   
18 OCT 2024,ESCORTS,EQ,ESCORTS KUBOTA LIMITED   ,Listed    ,18 OCT 2024,              10.00,         111877754,           3815.40,   426858382611.60   
18 OCT 2024,ESFL,ST,ESSEN SPECIALITY FILMS L ,Listed    ,18 OCT 2024,              10.00,          20699200,            671.95,    13908827440.00      
18 OCT 2024,ESPRIT,SM,ESPRIT STONES LIMITED    ,Listed    ,18 OCT 2024,              10.00,          21945200,             96.60,     2119906320.00    
18 OCT 2024,ESSARSHPNG,BE,ESSAR SHIPPING LTD       ,Listed    ,18 OCT 2024,              10.00,         206976072,             38.50,     7966509011.30
18 OCT 2024,ESSENTIA,EQ,INTEGRA ESSENTIA LIMITED ,Listed    ,18 OCT 2024,               1.00,        1067690544,              3.55,     3790301431.20  
18 OCT 2024,ESTER,EQ,ESTER INDUSTRIES LTD     ,Listed    ,18 OCT 2024,               5.00,          93954009,            145.95,    13710708533.35     
18 OCT 2024,ETHOSLTD,EQ,ETHOS LIMITED            ,Listed    ,18 OCT 2024,              10.00,          24480443,           3098.70,    75857548724.10  
18 OCT 2024,EUREKAFORB,EQ,EUREKA FORBES LIMITED    ,Listed    ,18 OCT 2024,              10.00,         193391115,            596.85,   115425486987.75
18 OCT 2024,EUROBOND,SM,EURO PANEL PRODUCTS LTD  ,Listed    ,18 OCT 2024,              10.00,          24500000,            195.00,     4777500000.00  
18 OCT 2024,EUROTEXIND,BE,EUROTEX IND & EXPORTS LTD,Listed    ,18 OCT 2024,              10.00,           8749865,             12.35,      108235830.05
18 OCT 2024,EVEREADY,EQ,EVEREADY INDS. IND.  LTD.,Listed    ,18 OCT 2024,               5.00,          72687260,            415.65,    30212459619.00  
18 OCT 2024,EVERESTIND,EQ,EVEREST INDUSTRIES LTD   ,Listed    ,18 OCT 2024,              10.00,          15819880,            989.20,    15649025296.00
18 OCT 2024,EXCEL,EQ,EXCEL REALTY N INFRA LTD ,Listed    ,18 OCT 2024,               1.00,        1410695060,              0.75,     1058021295.00     
18 OCT 2024,EXCELINDUS,EQ,EXCEL INDUSTRIES LTD     ,Listed    ,18 OCT 2024,               5.00,          12570692,           1540.60,    19366408095.20
18 OCT 2024,EXCELLENT,SM,EXCELLENT WIRES N PACK L ,Listed    ,18 OCT 2024,              10.00,           4470000,             73.00,      326310000.00 
18 OCT 2024,EXICOM,EQ,EXICOM TELE SYSTEMS LTD  ,Listed    ,18 OCT 2024,              10.00,         120824501,            325.90,    39376704875.90    
18 OCT 2024,EXIDEIND,EQ,EXIDE INDUSTRIES LTD     ,Listed    ,18 OCT 2024,               1.00,         850000000,            495.80,   421430000000.00  
18 OCT 2024,EXPLEOSOL,EQ,EXPLEO SOLUTIONS LIMITED ,Listed    ,18 OCT 2024,              10.00,          15519739,           1283.75,    19923464941.25 
18 OCT 2024,EXXARO,EQ,EXXARO TILES LIMITED     ,Listed    ,18 OCT 2024,              10.00,          44741070,             97.45,     4360464682.20    
18 OCT 2024,FACT,EQ,FACT LTD                 ,Listed    ,18 OCT 2024,              10.00,         647071974,            903.00,   584305992522.00      
18 OCT 2024,FAIRCHEMOR,EQ,FAIRCHEM ORGANICS LIMITED,Listed    ,18 OCT 2024,              10.00,          13020902,           1181.85,    15388753028.70
