SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
BE,LEXUS,Lexus Granito (India) Ltd, ,23/10/2024,25/10/2024,22/10/2024, , ,EGM                      
BE,JNKINDIA,JNK India Limited, ,22/10/2024,28/10/2024,21/10/2024, , ,ANNUAL GENERAL MEETING   
BE,WEALTH,Wealth Frst Port. Mg. Ltd,25/10/2024, , ,25/10/2024, , ,INTDIV - RS 8 PER SH     
BE,GBGLOBAL,GB Global Limited, ,23/10/2024,30/10/2024,22/10/2024, , ,EGM                      
BE,AHLWEST,Asian Hotels (West) Ltd,23/10/2024, , ,23/10/2024, , ,ANNUAL GENERAL MEETING   
BE,DBCORP,D.B.Corp Ltd,25/10/2024, , ,25/10/2024, , ,INTDIV - RS 5 PER SH     
BE,JNKINDIA,JNK India Limited,21/10/2024, , ,21/10/2024, , ,DIV - RE 0.30 PER SH     
BE,RELIANCE,RELIANCE IND - DEPO SETT.,28/10/2024, , ,28/10/2024, , ,BONUS 1:1                
BE,LGHL,Laxmi Goldorna House Ltd, ,22/10/2024,28/10/2024,21/10/2024, , ,ANNUAL GENERAL MEETING   
BE,JUBLINDS,Jubilant Industries Ltd,28/10/2024, , , , , ,MERGER                   
BE,SUMEETINDS,Sumeet Ind Limited,18/10/2024, , , , , ,CAPITAL REDUCTION        
BE,HCLTECH,HCL Technologies Ltd.,22/10/2024, , ,22/10/2024, , ,INTDIV - RS 12 PER SH    
BE,DRREDDY,DR. REDDY'S LABORATORIES,28/10/2024, , ,28/10/2024, , ,FV SPLT FRM RS 5 TO RE 1 
BE,LTTS,L&T Technology Ser. Ltd.,25/10/2024, , ,25/10/2024, , ,INTDIV - RS 17 PER SH    
BE,TCS,TATA CONSULTANCY SERV LTD,18/10/2024, , ,18/10/2024, , ,INTDIV - RS 10 PER SH    
BE,ANANDRATHI,Anand Rathi Wealth Ltd,18/10/2024, , ,18/10/2024, , ,INTDIV - RS 7 PER SH     
BE,FMNL,Future Mkt Networks Ltd,22/10/2024, , ,22/10/2024, , ,EGM                      
BE,SUKHJITS,Sukhjit Starch & Chem Ltd,25/10/2024, , ,25/10/2024, , ,FVSPLT FRM RS 10 TO RS 5 
BE,HEG,HEG Ltd,18/10/2024, , ,18/10/2024, , ,FVSPLT FRM RS 10 TO RS 2 
BE,MATRIMONY,Matrimony.Com Limited,25/10/2024, , ,25/10/2024, , ,BUY BACK                 
BZ,AHLWEST,Asian Hotels (West) Ltd,23/10/2024, , ,23/10/2024, , ,ANNUAL GENERAL MEETING   
EQ,LEXUS,Lexus Granito (India) Ltd, ,23/10/2024,25/10/2024,22/10/2024, , ,EGM                      
EQ,GBGLOBAL,GB Global Limited, ,23/10/2024,30/10/2024,22/10/2024, , ,EGM                      
EQ,WEALTH,Wealth Frst Port. Mg. Ltd,25/10/2024, , ,25/10/2024, , ,INTDIV - RS 8 PER SH     
EQ,AHLWEST,Asian Hotels (West) Ltd,23/10/2024, , ,23/10/2024, , ,ANNUAL GENERAL MEETING   
EQ,DBCORP,D.B.Corp Ltd,25/10/2024, , ,25/10/2024, , ,INTDIV - RS 5 PER SH     
EQ,JNKINDIA,JNK India Limited,21/10/2024, , ,21/10/2024, , ,DIV - RE 0.30 PER SH     
EQ,LGHL,Laxmi Goldorna House Ltd, ,22/10/2024,28/10/2024,21/10/2024, , ,ANNUAL GENERAL MEETING   
EQ,RELIANCE,Reliance Industries Ltd,28/10/2024, , ,28/10/2024, , ,BONUS 1:1                
EQ,JUBLINDS,Jubilant Industries Ltd,28/10/2024, , , , , ,MERGER                   
EQ,SUMEETINDS,Sumeet Ind Limited,18/10/2024, , , , , ,CAPITAL REDUCTION        
EQ,HCLTECH,HCL Technologies Ltd.,22/10/2024, , ,22/10/2024, , ,INTDIV - RS 12 PER SH    
EQ,DRREDDY,Dr. Reddys Lab Ltd,28/10/2024, , ,28/10/2024, , ,FV SPLT FRM RS 5 TO RE 1 
EQ,LTTS,L&T Technology Ser. Ltd.,25/10/2024, , ,25/10/2024, , ,INTDIV - RS 17 PER SH    
EQ,TCS,Tata Consultancy Serv Ltd,18/10/2024, , ,18/10/2024, , ,INTDIV - RS 10 PER SH    
EQ,ANANDRATHI,Anand Rathi Wealth Ltd,18/10/2024, , ,18/10/2024, , ,INTDIV - RS 7 PER SH     
EQ,FMNL,Future Mkt Networks Ltd,22/10/2024, , ,22/10/2024, , ,EGM                      
EQ,SUKHJITS,Sukhjit Starch & Chem Ltd,25/10/2024, , ,25/10/2024, , ,FVSPLT FRM RS 10 TO RS 5 
EQ,HEG,HEG Ltd,18/10/2024, , ,18/10/2024, , ,FVSPLT FRM RS 10 TO RS 2 
EQ,MATRIMONY,Matrimony.Com Limited,25/10/2024, , ,25/10/2024, , ,BUY BACK                 
EQ,JNKINDIA,JNK India Limited, ,22/10/2024,28/10/2024,21/10/2024, , ,ANNUAL GENERAL MEETING   
GS,772GS2055,GOI LOAN 7.72% 2055,25/10/2024, , ,25/10/2024, , ,INTEREST PAYMENT         
GS,734GS2064,GOI LOAN  7.34% 2064,21/10/2024, , ,21/10/2024, , ,INTEREST PAYMENT         
GS,GS261024C,GOI STRIPS C 261024,23/10/2024, , , , , ,REDEMPTION               
MF,UTFDQIPIRI,UTIAMC - UTFDQIPIRI,21/10/2024, , , , , ,DIV/STP                  
MF,UTFIQIPRPI,UTI-FIIF QIP - I - RDP,21/10/2024, , , , , ,DIV/STP                  
MF,UTFIQIPRGI,UTI-FIIF QIP - I - RG,21/10/2024, , , , , ,STP                      
MF,UTFDQIPIPI,UTIAMC - UTFDQIPIPI,21/10/2024, , , , , ,DIV/STP                  
MF,UTFDQIPIGI,UTIAMC - UTFDQIPIGI,21/10/2024, , , , , ,STP                      
MF,UTFIQIPRRI,UTI-FIIF QIP - I - RDR,21/10/2024, , , , , ,DIV/STP                  
N1,PEL,Sec Re NCD 9.05% Sr II,19/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
N2,PEL,Sec Re NCD 9.20% Sr III,19/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
N4,UGROCAP,Sec Red NCD 10.40% Sr.III,21/10/2024, , ,21/10/2024, , ,INTEREST PAYMENT         
N4,INCREDFIN,Sec Re NCD 9.45% Sr.I,18/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
N5,ERFLNCDI,Sec Red NCD 8.88% Sr. V,21/10/2024, , ,21/10/2024, , ,INTEREST PAYMENT         
N6,IIFLSAMFIN,IIFL Samasta10.48% 2027,22/10/2024, , ,22/10/2024, , ,INTEREST PAYMENT         
N6,INCREDFIN,Sec Re NCD 9.65% Sr.III,18/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
N6,IIFL,IIFL Finance Limited,22/10/2024, , ,22/10/2024, , ,INTEREST PAYMENT         
NG,INDIGRID,India Grid Trust,22/10/2024, , ,22/10/2024, , ,INTEREST PAYMENT         
NH,INDIGRID,India Grid Trust,22/10/2024, , ,22/10/2024, , ,INTEREST PAYMENT         
NH,IBUCCREDIT,Sec Re NCD 9.40% Sr.III,18/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
NJ,ECLFINANCE,Sec Red NCD 9.43% Sr. VI,21/10/2024, , ,21/10/2024, , ,INTEREST PAYMENT         
NK,INDIGRID,India Grid Trust,22/10/2024, , ,22/10/2024, , ,INTEREST PAYMENT         
NK,IBUCCREDIT,Sec Re NCD 9.61% Sr.VI,18/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
NL,INDIGRID,India Grid Trust,22/10/2024, , ,22/10/2024, , ,INTEREST PAYMENT         
NN,IBUCCREDIT,Sec Re NCD 9.40% Sr.VIII,18/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
NO,IBUCCREDIT,Sec Re NCD 9.85% Sr.VIII,18/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
NR,ECLFINANCE,ECL Finance Limited,21/10/2024, , ,21/10/2024, , ,INTEREST PAYMENT         
SG,524AS24,SDL AS 5.24% 2024,18/10/2024, , , , , ,REDEMPTION               
SG,527BR24,SDL BR 5.27% 2024,18/10/2024, , , , , ,REDEMPTION               
SM,PULZ,Pulz Electronics Limited,25/10/2024, , ,25/10/2024, , ,BONUS 1:1                
SM,AERON,Aeron Composite Limited, ,18/10/2024,25/10/2024,17/10/2024, , ,ANNUAL GENERAL MEETING   
SM,AMJUMBO,A and M Jumbo Bags Ltd, ,24/10/2024,30/10/2024,23/10/2024, , ,ANNUAL GENERAL MEETING   
SM,KCK,Kck Industries Limited,30/10/2024, , ,30/10/2024, , ,FVSPLT FRM RS 10 TO RS 2 
SQ,KCK,Kck Industries Limited,30/10/2024, , ,30/10/2024, , ,FVSPLT FRM RS 10 TO RS 2 
SQ,PULZ,Pulz Electronics Limited,25/10/2024, , ,25/10/2024, , ,BONUS 1:1                
SQ,AMJUMBO,A and M Jumbo Bags Ltd, ,24/10/2024,30/10/2024,23/10/2024, , ,ANNUAL GENERAL MEETING   
SQ,AERON,Aeron Composite Limited, ,18/10/2024,25/10/2024,17/10/2024, , ,ANNUAL GENERAL MEETING   
ST,PULZ,Pulz Electronics Limited,25/10/2024, , ,25/10/2024, , ,BONUS 1:1                
ST,AMJUMBO,A and M Jumbo Bags Ltd, ,24/10/2024,30/10/2024,23/10/2024, , ,ANNUAL GENERAL MEETING   
ST,AERON,Aeron Composite Limited, ,18/10/2024,25/10/2024,17/10/2024, , ,ANNUAL GENERAL MEETING   
ST,KCK,Kck Industries Limited,30/10/2024, , ,30/10/2024, , ,FVSPLT FRM RS 10 TO RS 2 
U1,PEL,Sec Re NCD 9.05% Sr II,19/10/2024, , ,18/10/2024, , ,INTEREST PAYMENT         
